id,title,category,section_number,content
1,Theft - Definition and Punishment,Pakistan Penal Code,Section 378-379,"Whoever intending to take dishonestly any moveable property out of the possession of any person without that person's consent, moves that property in order to such taking, is said to commit theft. Punishment for theft is imprisonment of either description for a term which may extend to three years, or with fine, or with both."
2,Murder - Qatl-i-Amd,Pakistan Penal Code,Section 300-302,"Qatl-i-amd (intentional murder) is when a person causes death of another by an act done with intention of causing death, or with intention of causing bodily harm likely to cause death. The punishment for Qatl-i-amd shall be death as Qisas, or imprisonment for life as Ta'zir, along with compensation (Diyat) paid to heirs of victim."
3,Hurt - Causing Bodily Harm,Pakistan Penal Code,Section 332-337,"Whoever causes hurt to any person is said to commit the offence of hurt. Hurt means causing bodily pain, disease or infirmity to a person. Punishment for hurt can extend to three years imprisonment or fine or both depending on severity."
4,Robbery and Dacoity,Pakistan Penal Code,Section 390-395,"Robbery is theft committed with force or fear. When five or more persons conjointly commit or attempt robbery, or when any of them uses or threatens to use violence, every person is guilty of dacoity. Punishment for robbery is up to 10 years rigorous imprisonment. Punishment for dacoity is imprisonment for life or rigorous imprisonment up to 10 years."
5,Fraud and Cheating,Pakistan Penal Code,Section 415-420,"Whoever by deceiving any person, fraudulently or dishonestly induces the person so deceived to deliver any property, or to make, alter, or destroy the whole or any part of a valuable security, is said to cheat. Punishment for cheating is imprisonment up to 7 years and fine."
6,Defamation,Pakistan Penal Code,Section 499-500,"Whoever by words either spoken or intended to be read, or by signs or by visible representations, makes or publishes any imputation concerning any person intending to harm the reputation of such person is said to defame that person. Punishment for defamation is simple imprisonment for a term which may extend to two years, or fine, or both."
7,Kidnapping and Abduction,Pakistan Penal Code,Section 359-364,"Kidnapping from Pakistan means conveying any person beyond the limits of Pakistan without the consent of that person. Abduction means compelling or inducing any person by force or deceit to go from any place. Punishment for kidnapping is imprisonment up to 7 years and fine. Kidnapping for ransom is punishable with death."
8,Sexual Harassment,Pakistan Penal Code,Section 509,"Whoever intends to insult the modesty of any woman, utters any word, makes any sound or gesture, or exhibits any object, intending that such word shall be heard, or such gesture shall be seen by such woman, or intrudes upon the privacy of such woman, shall be punished with imprisonment up to 3 years or fine up to five hundred thousand rupees or both."
9,Sedition,Pakistan Penal Code,Section 124-A,"Whoever by words whether spoken or written or by signs or by visible representation or otherwise excites or attempts to excite disaffection towards the Federal or Provincial Government shall be punished with imprisonment for life to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine."
10,Counterfeiting Currency,Pakistan Penal Code,Section 489-A,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting any currency note or bank note shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
11,Fundamental Rights - Equality,Constitution of Pakistan,Article 25,"All citizens are equal before law and are entitled to equal protection of law. There shall be no discrimination on the basis of sex alone. Nothing in this Article shall prevent the State from making any special provision for the protection of women and children."
12,Fundamental Rights - Freedom of Speech,Constitution of Pakistan,Article 19,"Every citizen shall have the right to freedom of speech and expression, and there shall be freedom of the press, subject to any reasonable restrictions imposed by law in the interest of the glory of Islam or the integrity, security or defence of Pakistan."
13,Right to Information,Constitution of Pakistan,Article 19-A,"Every citizen shall have the right to have access to information in all matters of public importance subject to regulation and reasonable restrictions imposed by law."
